episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1101, 89.85138756036758, 1, 1.8951871570025105, 97, 917857,                                             917857, 1.5376526200279748, 16.221819572841998
1102, -8.92848622892052, 2, 16.151119320988073, 996, 918853,                                             918853, 0.8531043694679996, 15.104441850060919
1103, -19.383814604429062, 1, 10.750338604004355, 674, 919527,                                             919527, 0.8755484408193243, 14.838082643220261
1104, -81.38142882124521, 2, 6.923867844991037, 411, 919938,                                             919938, 0.8634055029156724, 15.047373279747882
1105, 11.496112680062652, 1, 8.541947075995267, 535, 920473,                                             920473, 0.8582629367012844, 15.069114220699417
1106, -350.8498150333762, 1, 7.123079722994589, 422, 920895,                                             920895, 0.8491229349967993, 14.908990187667557
1107, 68.61924385044222, 1, 5.521219221001957, 328, 921223,                                             921223, 0.8455932919935483, 15.178765064332543
1108, -41.48152165743522, 2, 2.310101141993073, 119, 921342,                                             921342, 0.9543173433351917, 15.493047754303747
1109, 50.84039614815265, 1, 3.3258235020039137, 195, 921537,                                             921537, 0.8661430847950471, 14.874114530514449
1110, 92.14388425767538, 1, 14.345565893003368, 884, 922421,                                             922421, 0.8650179816182383, 15.103459729328414
1111, -33.57141647109529, 2, 5.2395508519985015, 329, 922750,                                             922750, 0.8912918510589194, 14.866124790852556
1112, -75.99513420043513, 1, 4.113966163000441, 233, 922983,                                             922983, 0.8656606754775723, 15.318747414028184
1113, -63.45179475915211, 2, 6.135251262006932, 382, 923365,                                             923365, 0.8193598681407449, 14.929588276678356
1114, -31.648089535854524, 1, 3.910658393986523, 232, 923597,                                             923597, 0.790297934207423, 15.02839129546593
1115, 92.50656644301489, 1, 6.923034167004516, 414, 924011,                                             924011, 0.8865732957343548, 15.286618025406547
1116, 25.725984225282446, 1, 7.123214766004821, 424, 924435,                                             924435, 0.8602459089092489, 15.073257626227612
1117, -81.08685541152954, 2, 0.5162263679958414, 30, 924465,                                             924465, 0.7997001707553864, 15.281225395202636
1118, 57.37062429077923, 1, 2.909943598002428, 163, 924628,                                             924628, 0.8901986086661099, 15.405233585030023
1119, 33.851633406826295, 1, 7.139353934006067, 439, 925067,                                             925067, 0.8514989008257221, 14.99100921691686
1120, -186.90768685936928, 2, 3.9133051149983658, 233, 925300,                                             925300, 0.8972560022777754, 15.292500545026918
1121, 52.586704986868426, 1, 5.6292361530067865, 344, 925644,                                             925644, 0.8135946898093057, 15.12716885777407
1122, 20.398785745957866, 1, 5.318407343002036, 310, 925954,                                             925954, 0.8489840467129984, 14.88944121330015
1123, -42.917206306534354, 2, 2.1089509669982363, 113, 926067,                                             926067, 0.8512248903249218, 15.239907019961196
1124, 31.57026118040085, 1, 4.327361823001411, 262, 926329,                                             926329, 0.8903964935368254, 15.100308167115422
1125, -40.1055063707754, 2, 5.522685365998768, 321, 926650,                                             926650, 0.7950333429274158, 14.862761687638232
1126, 38.33394964854233, 1, 3.524196343991207, 219, 926869,                                             926869, 0.9205658227613528, 14.704960152438787
1127, -283.63801096379757, 1, 6.922835429999395, 415, 927284,                                             927284, 0.905472234573709, 15.079262386459902
1128, -49.692856788635254, 2, 1.120693212011247, 63, 927347,                                             927347, 0.800963603787952, 15.007229017832923
1129, 2.708243341650814, 1, 3.5115278930024942, 202, 927549,                                             927549, 0.8785850669782941, 15.019195466938585
1130, 12.00112729659304, 1, 7.138458171000821, 437, 927986,                                             927986, 0.8930469274657269, 14.992988336550017
