episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -443.64031295478344, 2, 14.147878192990902, 908, 25569,                                             25569, 0.746975700760728, 20.058134093683723
2, 1688.1526258883164, 2, 328.3247692020086, 21060, 46629,                                             46629, 0.8497351252320882, 24.56202343757789
3, -358.6920726746612, 2, 28.585351982997963, 1836, 48465,                                             48465, 0.9209330189396873, 27.814536613057122
4, -184.85348917543888, 2, 9.352742185990792, 591, 49056,                                             49056, 0.9740435251628888, 28.11083613878176
5, -101.36366311463644, 2, 9.130757060003816, 572, 49628,                                             49628, 1.0584755142356133, 28.082857308687863
6, -98.571673044411, 2, 8.537523981998675, 540, 50168,                                             50168, 0.9747468342935598, 28.524303464536313
7, -36.11319108691532, 2, 28.79503263499646, 1844, 52012,                                             52012, 0.9224535166457651, 28.50022143759076
8, -12.50127563218848, 2, 7.949915099990903, 485, 52497,                                             52497, 0.9232699452601757, 28.986872100830077
9, -71.55513009905553, 2, 10.732087702999706, 665, 53162,                                             53162, 0.9753111198208386, 28.830673713970903
10, -67.5051216120628, 2, 7.937787960006972, 502, 53664,                                             53664, 1.082757326176917, 29.151876054437036
11, 42.8117332343827, 2, 9.623079954995774, 593, 54257,                                             54257, 1.0478624005944894, 29.3233900279259
12, -195.51772613823414, 2, 7.72538079500373, 462, 54719,                                             54719, 0.9328642854571858, 29.599672177137233
13, -96.08728916756809, 2, 7.941663264995441, 498, 55217,                                             55217, 1.0139068406987861, 29.692177282279754
14, -16.363506941939704, 2, 10.537666895004804, 660, 55877,                                             55877, 1.0569738685181647, 29.900226945588084
15, -44.31523261557231, 2, 7.941074329006369, 494, 56371,                                             56371, 1.1034779957672844, 30.272253758511564
16, -90.56265912920935, 2, 10.33502290600154, 643, 57014,                                             57014, 1.0077317554972962, 30.022475594124565
17, 11.723690742161125, 2, 9.952250986010768, 625, 57639,                                             57639, 1.1246300293922424, 30.47269166870117
18, -481.05768881738186, 2, 8.329951284002163, 511, 58150,                                             58150, 1.1605516617312124, 30.66015270404853
19, -90.71113044846788, 2, 8.144025722998776, 493, 58643,                                             58643, 1.0934444419873413, 30.930857463008735
20, -82.96307119375706, 2, 9.130573880000156, 566, 59209,                                             59209, 1.216638148726086, 31.35737066639607
21, 58.92727452254621, 2, 9.34063369499927, 593, 59802,                                             59802, 1.1427172599313231, 31.466623579671772
22, -210.99229580163956, 2, 8.929544633007026, 550, 60352,                                             60352, 1.141295775662769, 31.51174514423717
23, -177.8135069552809, 2, 9.53103533500689, 581, 60933,                                             60933, 1.1634149704763277, 31.628138698111712
24, -341.0361283123493, 2, 11.13298818700423, 692, 61625,                                             61625, 1.1710340316929568, 31.72590456946048
25, -124.97620343373273, 2, 10.737820841997745, 671, 62296,                                             62296, 1.151560842635557, 31.98732876386799
26, -169.35222873429302, 2, 8.941905565996422, 561, 62857,                                             62857, 1.2764939243993232, 32.330127794262346
27, -33.35697257955326, 2, 9.527609898010269, 587, 63444,                                             63444, 1.2326357244836004, 32.36119581609203
28, -58.2888321323253, 2, 25.195900115999393, 1601, 65045,                                             65045, 1.2438497076103048, 32.85908640183038
29, -64.04109656289802, 2, 7.721329454987426, 465, 65510,                                             65510, 1.254388774530862, 33.265718316519134
30, -67.06216199117625, 2, 7.94169030500052, 500, 66010,                                             66010, 1.165888959288597, 33.158780780792235
31, 4.659615742057213, 2, 9.428395309005282, 570, 66580,                                             66580, 1.141726169512983, 33.58324158651787
32, -44.16735508100828, 2, 7.544287274009548, 466, 67046,                                             67046, 1.262360130768477, 33.51690416786292
33, 48.506046289228834, 2, 9.129820911999559, 560, 67606,                                             67606, 1.2398858789354563, 33.808849753652304
34, -231.62047827243805, 2, 8.946165479996125, 559, 68165,                                             68165, 1.2220695821671665, 33.70902710779835
