episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
201, 104.64218378067017, 1, 2.165007774005062, 119, 561529,                                             561529, 1.1507423655325626, 26.649835265985057
202, -134.23878800868988, 2, 2.908631051002885, 161, 561690,                                             561690, 0.7592595341783133, 26.008521808600573
203, -7.894659433630295, 1, 14.557139243988786, 904, 562594,                                             562594, 0.7637906578921638, 26.32878847881756
204, -667.8081227933435, 2, 23.77986737000174, 1472, 564066,                                             564066, 0.8009937478269896, 26.21080056351164
205, -25.614514507353306, 2, 4.931056693996652, 300, 564366,                                             564366, 0.7360378394524256, 26.439533462524412
206, -776.4292477220297, 2, 15.349207719991682, 944, 565310,                                             565310, 0.7799027740197667, 26.217590780581457
207, -73.04474901442882, 2, 4.532140672992682, 275, 565585,                                             565585, 0.7945439880544489, 26.24528078252619
208, -265.2707584351301, 2, 9.530149301994243, 578, 566163,                                             566163, 0.7977146537761787, 26.506819391745598
209, -263.9651435613632, 2, 13.151400590999401, 797, 566960,                                             566960, 0.7712193003188412, 26.43570852818124
210, -34.075826388492715, 2, 4.933548735003569, 299, 567259,                                             567259, 0.8372851685935438, 26.43654887094147
211, -547.45429546386, 2, 16.847050555996248, 1038, 568297,                                             568297, 0.7686121667051591, 26.468746574857562
212, 68.88046740554273, 1, 3.726335906991153, 221, 568518,                                             568518, 0.7461396478689634, 26.624429228079265
213, -191.05630812584423, 2, 14.141629983001621, 825, 569343,                                             569343, 0.784225681550575, 26.51484664916992
214, -708.1357566785155, 2, 48.27612701698672, 3022, 572365,                                             572365, 0.8086025623849967, 26.695569538896564
215, -62.011781379063905, 2, 30.397939439993934, 1889, 574254,                                             574254, 0.8291473593454376, 26.723612814116187
216, -512.3297369107604, 2, 20.964007059999858, 1288, 575542,                                             575542, 0.798832877498606, 26.913011619022914
217, -35.518894171342254, 2, 4.13044733600691, 243, 575785,                                             575785, 0.8377066081688728, 26.986627406053582
218, -185.46438685059547, 2, 3.7117497290018946, 206, 575991,                                             575991, 0.7630142291772712, 26.779642068066643
219, 26.10620179772377, 1, 0.7082249619998038, 30, 576021,                                             576021, 0.9042765200138092, 26.105783971150718
