stage,ep,reward,success,steps,total_steps,critic_loss,actor_loss
4,401,67.23965448141098,1,67,703168,1.4229367677845173,26.936643344252857
4,402,-392.4383982717991,3,455,703623,0.7627778512435955,25.6433663043347
4,403,57.04520127363503,2,350,703973,0.7791292006628854,25.351414969308035
4,404,-243.88188672065735,2,294,704267,0.8126126840001061,25.384523534450402
4,405,-76.11193988850573,2,340,704607,0.767163449613487,25.47518487257116
4,406,-53.67265230976045,2,220,704827,0.7764451389962976,25.511000841314143
4,407,-299.27209928818047,2,861,705688,0.7773645966033625,25.4008769346585
4,408,-19.057152795576258,2,572,706260,0.8373473619039242,25.53482900632845
4,409,-396.0992274596938,2,1822,708082,0.804713612624764,25.378759722285682
4,410,83.0554378493689,1,297,708379,0.8498474480929198,25.506169585667877
4,411,53.668967559031444,3,1324,709703,0.8174026211402927,25.32775570042544
4,412,-33.816036182426615,2,406,710109,0.7754665553716603,25.535267172188593
4,413,-17.824519345536828,1,252,710361,0.7551855401150764,25.67275345514691
4,414,10.513311924180016,1,486,710847,0.8098858245974215,25.495421770668816
4,415,39.343129051849246,1,473,711320,0.8191563354738167,25.51907443395377
4,416,-77.68352680662065,3,337,711657,0.8971107351850686,25.541784207261987
4,417,-8.47225954377791,1,274,711931,0.7786172328204134,25.443657046686994
4,418,-82.56648467556806,2,499,712430,0.7729410937052212,25.39977937518714
4,419,95.77929711512115,1,419,712849,0.7865341451543613,25.33786689011749
4,420,-40.22959166765213,2,45,712894,0.7837414907084571,25.178801388210722
4,421,23.454637050628662,1,30,712924,0.8551150451103846,25.164160792032877
4,422,70.14432532165665,1,267,713191,0.7846736023935039,25.36108949925569
4,423,47.36507421731949,1,432,713623,0.8364712659407545,25.33853976373319
4,424,-70.03613548725843,2,217,713840,0.773074105038621,25.253782421762494
4,425,22.310031682252884,1,30,713870,0.8429631104071935,24.65382328033447
4,426,-79.3897745013237,2,201,714071,0.8144367673800359,25.389115471151932
4,427,88.42500626575202,1,306,714377,0.7890233003041324,25.238989019705578
4,428,68.44601863669232,1,455,714832,0.8094946759742695,25.277444546039288
4,429,127.23400517473056,1,772,715604,0.8428358168104769,25.373760020794645
4,430,-69.51198813319206,2,126,715730,0.7628150024111309,25.453508876618884
4,431,48.605750516057014,1,118,715848,0.7442784827139418,25.194895873635502
4,432,-286.5412586541497,1,681,716529,0.7884569118639096,25.40094988426623
4,433,-70.57150506973267,2,30,716559,0.7227479656537373,24.83005714416504
4,434,80.5194807574153,1,273,716832,0.8256544861601386,25.622963294004784
4,435,48.40282266656868,1,207,717039,0.7782149034133856,25.41833716314196
4,436,-39.08332461118698,2,42,717081,0.8415190527836481,25.412303879147483
4,437,53.60512763261795,1,104,717185,0.8134953557298734,25.05909828039316
4,438,22.103623481467366,1,468,717653,0.7475806449850401,25.30745849446354
4,439,156.212900551036,1,773,718426,0.7797579140743339,25.268567197535663
4,440,-49.102495797909796,2,112,718538,0.7998613728476422,25.260722177369253
4,441,12.768450459465384,1,220,718758,0.8523116734894839,25.1603798085993
4,442,24.37242943889032,1,347,719105,0.8058060607752127,25.172561909348545
4,443,76.6059938739636,1,568,719673,0.7887133031453885,25.13704417792844
4,444,-83.56399403116666,2,192,719865,0.8145536310039461,25.287480900684994
4,445,130.70065280198833,1,391,720256,0.7571617149178634,25.19977977879517
4,446,-53.27602859819308,2,417,720673,0.7826546887985523,25.118901639247685
4,447,-175.91207620501518,2,249,720922,0.9216277617287923,25.20509949649673
