episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
401, 67.23965448141098, 1, 1.5963709489878966, 67, 703168,                                             703168, 1.4229367677845173, 26.936643344252857
402, -392.4383982717991, 3, 7.522627906000707, 455, 703623,                                             703623, 0.7627778512435955, 25.6433663043347
403, 57.04520127363503, 2, 5.736305996004376, 350, 703973,                                             703973, 0.7791292006628854, 25.351414969308035
404, -243.88188672065735, 2, 4.915365789012867, 294, 704267,                                             704267, 0.8126126840001061, 25.384523534450402
405, -76.11193988850573, 2, 5.718764586010366, 340, 704607,                                             704607, 0.767163449613487, 25.47518487257116
406, -53.67265230976045, 2, 3.7262259010021808, 220, 704827,                                             704827, 0.7764451389962976, 25.511000841314143
407, -299.27209928818047, 2, 13.746620389996679, 861, 705688,                                             705688, 0.7773645966033625, 25.4008769346585
408, -19.057152795576258, 2, 9.144841792993248, 572, 706260,                                             706260, 0.8373473619039242, 25.53482900632845
409, -396.0992274596938, 2, 28.985646582004847, 1822, 708082,                                             708082, 0.804713612624764, 25.378759722285682
410, 83.0554378493689, 1, 4.728904783987673, 297, 708379,                                             708379, 0.8498474480929198, 25.506169585667877
411, 53.668967559031444, 3, 21.252915438002674, 1324, 709703,                                             709703, 0.8174026211402927, 25.32775570042544
412, -33.816036182426615, 2, 6.529583859999548, 406, 710109,                                             710109, 0.7754665553716603, 25.535267172188593
413, -17.824519345536828, 1, 4.316481349989772, 252, 710361,                                             710361, 0.7551855401150764, 25.67275345514691
414, 10.513311924180016, 1, 7.929078960005427, 486, 710847,                                             710847, 0.8098858245974215, 25.495421770668816
415, 39.343129051849246, 1, 7.725909753993619, 473, 711320,                                             711320, 0.8191563354738167, 25.51907443395377
416, -77.68352680662065, 3, 5.530436404005741, 337, 711657,                                             711657, 0.8971107351850686, 25.541784207261987
417, -8.47225954377791, 1, 4.711817652001628, 274, 711931,                                             711931, 0.7786172328204134, 25.443657046686994
418, -82.56648467556806, 2, 7.9408387370058335, 499, 712430,                                             712430, 0.7729410937052212, 25.39977937518714
419, 95.77929711512115, 1, 6.922057149989996, 419, 712849,                                             712849, 0.7865341451543613, 25.33786689011749
420, -40.22959166765213, 2, 1.1050093910016585, 45, 712894,                                             712894, 0.7837414907084571, 25.178801388210722
421, 23.454637050628662, 1, 0.5853395799931604, 30, 712924,                                             712924, 0.8551150451103846, 25.164160792032877
422, 70.14432532165665, 1, 4.514955332997488, 267, 713191,                                             713191, 0.7846736023935039, 25.36108949925569
423, 47.36507421731949, 1, 6.938122343010036, 432, 713623,                                             713623, 0.8364712659407545, 25.33853976373319
424, -70.03613548725843, 2, 3.7130122789967572, 217, 713840,                                             713840, 0.773074105038621, 25.253782421762494
425, 22.310031682252884, 1, 0.7064314809977077, 30, 713870,                                             713870, 0.8429631104071935, 24.65382328033447
426, -79.3897745013237, 2, 3.326269418001175, 201, 714071,                                             714071, 0.8144367673800359, 25.389115471151932
427, 88.42500626575202, 1, 5.118756076000864, 306, 714377,                                             714377, 0.7890233003041324, 25.238989019705578
428, 68.44601863669232, 1, 7.52654857399466, 455, 714832,                                             714832, 0.8094946759742695, 25.277444546039288
429, 127.23400517473056, 1, 12.357309579994762, 772, 715604,                                             715604, 0.8428358168104769, 25.373760020794645
430, -69.51198813319206, 2, 2.309674896998331, 126, 715730,                                             715730, 0.7628150024111309, 25.453508876618884
431, 48.605750516057014, 1, 2.1848548370035132, 118, 715848,                                             715848, 0.7442784827139418, 25.194895873635502
432, -286.5412586541497, 1, 11.138619158009533, 681, 716529,                                             716529, 0.7884569118639096, 25.40094988426623
433, -70.57150506973267, 2, 0.5194192210037727, 30, 716559,                                             716559, 0.7227479656537373, 24.83005714416504
