episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1001, 83.21632885932922, 1, 1.632974452993949, 89, 889091,                                             889091, 1.5218794486495886, 17.89608925380064
1002, 12.052720690349815, 2, 9.933918834998622, 619, 889710,                                             889710, 0.8596201296865651, 16.918946773054525
1003, 19.624904656317085, 2, 9.329811668998445, 566, 890276,                                             890276, 0.8001567443352284, 16.82615309974751
1004, 50.41666082351003, 1, 9.139855453002383, 570, 890846,                                             890846, 0.8203710165985844, 16.685115134925173
1005, 53.139906025957316, 2, 12.736593855996034, 785, 891631,                                             891631, 0.8585401504662387, 16.640988061989948
1006, 122.63688195880968, 1, 13.740850829999545, 848, 892479,                                             892479, 0.8374906115515052, 16.73798584488203
1007, -67.94050966203213, 2, 1.118638641986763, 63, 892542,                                             892542, 0.7709283682089003, 16.544484289865647
1008, -118.8779506047722, 1, 7.725343818005058, 470, 893012,                                             893012, 0.8088536628383272, 16.764128441506244
1009, 13.838461558450945, 1, 5.730977493993123, 353, 893365,                                             893365, 0.8585089642670607, 16.81379581916096
1010, -100.70830856706016, 2, 4.917149518005317, 286, 893651,                                             893651, 0.8873252378893899, 16.549673133796745
1011, 48.274546811473556, 1, 4.015786622010637, 240, 893891,                                             893891, 0.858597012857596, 16.588428668181102
1012, 43.17873677285388, 1, 4.517134576992248, 262, 894153,                                             894153, 0.7857223013202652, 16.55206498298936
1013, -6.671812242595479, 1, 6.540666818007594, 406, 894559,                                             894559, 0.8342021498920882, 16.61511175973075
1014, -59.26550302072428, 2, 5.71911181199539, 344, 894903,                                             894903, 0.8165289004181706, 16.580706771029984
1015, 92.33082576905144, 1, 7.725200587010477, 465, 895368,                                             895368, 0.810930815242952, 16.57438433452319
1016, -42.41475602675928, 1, 8.135396472993307, 506, 895874,                                             895874, 0.8409801420604759, 16.718625070549283
1017, 31.334179417346604, 1, 5.521381180995377, 324, 896198,                                             896198, 0.8826546029728136, 16.76079344455107
1018, -117.00409089773893, 2, 2.309664647997124, 127, 896325,                                             896325, 0.8720992111314939, 16.332708298690676
1019, 58.24191767722368, 1, 2.511500894994242, 145, 896470,                                             896470, 0.8071734839472278, 16.493317972380538
1020, 8.409594460506923, 1, 4.926181230999646, 309, 896779,                                             896779, 0.857670214666132, 16.870101058367386
1021, 43.90442310099024, 1, 3.599420262995409, 216, 896995,                                             896995, 0.7994486330835907, 16.513630434318824
1022, 31.381547445897013, 1, 3.727936082999804, 225, 897220,                                             897220, 0.787113672097524, 16.54857258266873
1023, 13.019778352696449, 2, 3.514820629003225, 203, 897423,                                             897423, 0.802713911521611, 16.624468061137083
1024, 42.706654635607265, 1, 2.7231802430032985, 161, 897584,                                             897584, 0.7799922244519181, 16.783622309287882
1025, -38.39683115412481, 2, 5.516839976000483, 331, 897915,                                             897915, 0.8449043278607717, 16.614081241573093
1026, 44.69029048271477, 1, 3.713887246995, 218, 898133,                                             898133, 0.8836837576343379, 16.587989616831507
1027, 43.49702463342692, 1, 3.7137686339992797, 211, 898344,                                             898344, 0.9393930757215238, 16.6483336624941
1028, 29.92486480808293, 1, 5.319964847993106, 312, 898656,                                             898656, 0.8518706541986037, 16.42190204216884
1029, -35.32511132955551, 2, 1.105504569990444, 50, 898706,                                             898706, 0.7736442065238953, 16.06550371170044
1030, 28.476861629867926, 1, 4.31165646998852, 248, 898954,                                             898954, 0.824487573557323, 16.541138402877316
1031, -2.749902415089309, 1, 5.819545606005704, 352, 899306,                                             899306, 0.8473131231624972, 16.684396518902346
1032, -80.81810259819031, 2, 0.5152324639930157, 30, 899336,                                             899336, 0.8301157514254253, 16.596869786580402
1033, 48.55470182723366, 1, 4.715207118002581, 273, 899609,                                             899609, 0.915763910764303, 16.418838878254313
1034, -46.536100399665884, 1, 5.1232657590007875, 306, 899915,                                             899915, 0.8286041758613649, 16.600767104454288
1035, 31.355819279910065, 1, 3.1110246930038556, 179, 900094,                                             900094, 0.8927075345089982, 16.61802019620075
